,name,films,Photo
25,Julie Hagerty,Freddy Got Fingered,"https://m.media-amazon.com/images/M/MV5BNjU4NzU4ODU1N15BMl5BanBnXkFtZTYwMDk1NzU1._V1_UY209_CR10,0,140,209_AL_.jpg"
26,Luis Guzmán,Traffic,"https://m.media-amazon.com/images/M/MV5BNzYyNjIyOTU2NF5BMl5BanBnXkFtZTcwODk3ODcxMw@@._V1_UY209_CR1,0,140,209_AL_.jpg"
27,Lupita Nyong'o,12 Years a Slave,"https://m.media-amazon.com/images/M/MV5BMTY0NTQ4MDY2Nl5BMl5BanBnXkFtZTgwNDk1MTEyMDE@._V1_UX140_CR0,0,140,209_AL_.jpg"
28,Chaske Spencer,The Twilight Saga: Breaking Dawn - Part 1,"https://m.media-amazon.com/images/M/MV5BODMyYjdmMDAtMzdkOS00MDRjLWJhZjktYThkNmE0NmE3ZjViXkEyXkFqcGdeQXVyNTAzMjIyMDk@._V1_UY209_CR4,0,140,209_AL_.jpg"
29,Andrea Riseborough,Birdman or (The Unexpected Virtue of Ignorance),"https://m.media-amazon.com/images/M/MV5BMTU5MTUzNDAwN15BMl5BanBnXkFtZTcwMjA0NjcyNw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
30,Margot Robbie,Suicide Squad,"https://m.media-amazon.com/images/M/MV5BMTgxNDcwMzU2Nl5BMl5BanBnXkFtZTcwNDc4NzkzOQ@@._V1_UY209_CR8,0,140,209_AL_.jpg"
31,Simona Tabasco,Perez.,"https://m.media-amazon.com/images/M/MV5BNzhjOGM0ZWMtZjNmZS00MGU2LTk2NmYtZWRiYjhiMTYwZDU0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR87,0,140,209_AL_.jpg"
32,Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby,"https://m.media-amazon.com/images/M/MV5BMTMxMDIzMDEzNF5BMl5BanBnXkFtZTcwODcxMjE2Mg@@._V1_UY209_CR2,0,140,209_AL_.jpg"
33,Sofia Boutella,Kingsman: The Secret Service,"https://m.media-amazon.com/images/M/MV5BMzU4ODM4MTQzMl5BMl5BanBnXkFtZTgwNTk5NzkxNTM@._V1_UY209_CR3,0,140,209_AL_.jpg"
34,Kelly Brook,Piranha 3D,"https://m.media-amazon.com/images/M/MV5BMTEwMTYyOTU2ODdeQTJeQWpwZ15BbWU3MDAwNzM5NTY@._V1_UY209_CR8,0,140,209_AL_.jpg"
35,Sarah Shahi,Black Adam,"https://m.media-amazon.com/images/M/MV5BMTU0MzE2NTI1NV5BMl5BanBnXkFtZTcwODcwMzMwOQ@@._V1_UY209_CR1,0,140,209_AL_.jpg"
36,Theo James,Divergent,"https://m.media-amazon.com/images/M/MV5BODc4ZWI3OWYtMGRhYi00MGJkLThjYWUtYjk3MmU5MTQzOTY2XkEyXkFqcGdeQXVyMTgzNjAyMjM@._V1_UY209_CR8,0,140,209_AL_.jpg"
37,Ana de Armas,Blade Runner 2049,"https://m.media-amazon.com/images/M/MV5BMWM3MDMzNjMtODM5Ny00YmY0LWJhNzQtNTE1ZDNlNjllNDQ0XkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UY209_CR86,0,140,209_AL_.jpg"
38,Zack Ward,Freddy vs. Jason,"https://m.media-amazon.com/images/M/MV5BZmI1MDNmMGEtYTM2Mi00YjY3LWFiYWItN2I3MGI5NTQxNzJmXkEyXkFqcGdeQXVyNDIyNzQ0Mw@@._V1_UY209_CR3,0,140,209_AL_.jpg"
39,Taylor Sheridan,Hell or High Water,"https://m.media-amazon.com/images/M/MV5BMTU3NDUyMzE2OF5BMl5BanBnXkFtZTcwMTc0MDQ3MQ@@._V1_UY209_CR4,0,140,209_AL_.jpg"
40,Emma D'Arcy,Truth Seekers,"https://m.media-amazon.com/images/M/MV5BOTJiOGExNWUtZjM0ZS00Mzc2LTg4YjQtNzEzNjE0NzNmYzA5XkEyXkFqcGdeQXVyOTAyMDgxODQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
41,Sean Young,Blade Runner,"https://m.media-amazon.com/images/M/MV5BOGM1YzQyYWMtZDM2Yi00YjM1LTliYWYtODEyNjY0OGVjYTcyXkEyXkFqcGdeQXVyMjIzODg1ODM@._V1_UY209_CR3,0,140,209_AL_.jpg"
42,Faye Marsay,Game of Thrones,"https://m.media-amazon.com/images/M/MV5BMGE3ZGM1YjktMTc4MS00NmI2LWFlM2QtYWJhMjlhYzE4MjQzXkEyXkFqcGdeQXVyNjUxMjc1OTM@._V1_UY209_CR181,0,140,209_AL_.jpg"
43,Steven Spielberg,Schindler's List,"https://m.media-amazon.com/images/M/MV5BMTY1NjAzNzE1MV5BMl5BanBnXkFtZTYwNTk0ODc0._V1_UX140_CR0,0,140,209_AL_.jpg"
44,Chord Overstreet,Glee,"https://m.media-amazon.com/images/M/MV5BOWY0M2JjNDAtNjdjNS00YWEyLWEzZmItYjNhYmRmNmEzZTkzXkEyXkFqcGdeQXVyNjcyNjEwOTI@._V1_UY209_CR3,0,140,209_AL_.jpg"
45,Tom Cruise,Top Gun,"https://m.media-amazon.com/images/M/MV5BYTFlOTdjMjgtNmY0ZC00MDgxLThjNmEtZGIxZTQyZDdkMTRjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR7,0,140,209_AL_.jpg"
46,Zoe Saldana,Avatar,"https://m.media-amazon.com/images/M/MV5BMTM2MjIwOTc0Nl5BMl5BanBnXkFtZTcwNzQ5ODM1Mw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
47,Natalie Morales,Parks and Recreation,"https://m.media-amazon.com/images/M/MV5BZjllYTE1MGMtN2NlZi00OGJmLWFkM2EtNDYxNGY4YWNhYzc3XkEyXkFqcGdeQXVyMTI5NDg4ODE@._V1_UY209_CR2,0,140,209_AL_.jpg"
48,Olivia Wilde,Tron,"https://m.media-amazon.com/images/M/MV5BMTg5NTc1NzgwOV5BMl5BanBnXkFtZTcwMTcyMjIzMQ@@._V1_UY209_CR13,0,140,209_AL_.jpg"
49,Elizabeth Mitchell,The Purge: Election Year,"https://m.media-amazon.com/images/M/MV5BMTY4OTk4NjE2N15BMl5BanBnXkFtZTgwNzMxODk1MzE@._V1_UY209_CR13,0,140,209_AL_.jpg"
50,Idina Menzel,Frozen,"https://m.media-amazon.com/images/M/MV5BMTM3MTUyMzM4OF5BMl5BanBnXkFtZTYwNzMwOTI4._V1_UX140_CR0,0,140,209_AL_.jpg"
51,Kelsey Asbille,Fargo,"https://m.media-amazon.com/images/M/MV5BMGZlMDg0ZDgtOGMyNS00ZGM5LTkxZGUtNjY3ZWFmMmJlMmFiXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR14,0,140,209_AL_.jpg"
52,Jamie McShane,Bloodline,"https://m.media-amazon.com/images/M/MV5BODc5NDFkOTMtZDM5Yy00M2EzLTk3NjYtY2U5Zjk4OTUyZGQ5XkEyXkFqcGdeQXVyMjE1ODY3Ng@@._V1_UY209_CR0,0,140,209_AL_.jpg"
53,Katie Cassidy,A Nightmare on Elm Street,"https://m.media-amazon.com/images/M/MV5BNTE4M2FkOTktNTc4MS00MDY5LWJkYTYtOTE3ZjcxY2I5Y2E4XkEyXkFqcGdeQXVyMTY3MTgwNDU@._V1_UY209_CR115,0,140,209_AL_.jpg"
54,Daniel Craig,Casino Royale,"https://m.media-amazon.com/images/M/MV5BMjEzMjk4NDU4MF5BMl5BanBnXkFtZTcwMDMyNjQzMg@@._V1_UY209_CR0,0,140,209_AL_.jpg"
55,Grace Van Patten,Under the Silver Lake,"https://m.media-amazon.com/images/M/MV5BMjQzNDExNzc5NV5BMl5BanBnXkFtZTgwMjAwMDMwMDI@._V1_UX140_CR0,0,140,209_AL_.jpg"
56,Dustin Milligan,Schitt's Creek,"https://m.media-amazon.com/images/M/MV5BZDYwMTk2MTQtZTUzOC00NTYwLThhOGEtNjhiMGQyNWY0Njk4XkEyXkFqcGdeQXVyMTAxMzAxNDE0._V1_UY209_CR11,0,140,209_AL_.jpg"
57,Darren McGavin,A Christmas Story,"https://m.media-amazon.com/images/M/MV5BMTU2MDYwMjQ5NV5BMl5BanBnXkFtZTYwODE5MjU2._V1_UY209_CR6,0,140,209_AL_.jpg"
58,Dominic West,The Wire,"https://m.media-amazon.com/images/M/MV5BMjM1MDU1Mzg3N15BMl5BanBnXkFtZTgwNTcwNzcyMzI@._V1_UY209_CR97,0,140,209_AL_.jpg"
59,Sydney Sweeney,Euphoria,"https://m.media-amazon.com/images/M/MV5BOTVjOTkxNjMtNDJiYS00YzEzLThmZTItZjJhM2E4NWQyM2Q2XkEyXkFqcGdeQXVyNzM1NTU0NA@@._V1_UY209_CR8,0,140,209_AL_.jpg"
