,Titre,Notes_moyennes,Nombres_votes,Recettes_Films
120,Argo,8.6,7.7,"136,019,448"
121,21 Jump Street,6.9,7.2,"134,000,000"
122,Chicken Run,8.8,7.0,"106,604,314"
123,Hero,8.5,7.9,0
124,8 Mile,7.7,7.0,"116,638,030"
125,American Hustle,9.0,7.3,"99,165,609"
126,The Social Network,9.5,7.7,"96,400,000"
127,Ray,7.3,7.7,"75,236,415"
128,Sin City,7.4,8.0,0
129,Bridge of Spies,8.1,7.6,0
130,"I Love You, Man",7.0,7.0,"71,300,000"
131,Fantastic Mr. Fox,8.3,7.8,"21,000,000"
132,The Impossible,7.3,7.6,"18,996,755"
133,Amélie,6.9,8.4,0
134,Baahubali: The Beginning,0.0,8.3,0
135,Snowpiercer,8.4,7.0,"2,786,828"
136,Red Cliff,7.3,7.4,"526,841"
137,The Warlords,7.0,7.1,0
138,Frankenweenie,7.4,7.0,"35,287,788"
139,Serenity,7.4,7.9,"25,335,935"
140,Precious,7.9,7.3,"47,536,959"
141,Rush,7.5,8.1,"22,442,876"
142,The Master,8.6,7.1,"15,800,000"
143,Creed,8.2,7.6,"81,157,671"
144,The Town,7.4,7.6,"92,173,235"
145,The Hangover,7.3,7.8,"277,313,371"
146,True Grit,8.0,7.6,"171,031,347"
147,The Pianist,8.5,8.5,"32,519,322"
148,Wonder Boys,7.3,7.4,0
149,The Walk,7.0,7.3,"8,064,239"
150,Black Water Transit,0.0,7.1,0
151,Ponyo,8.6,7.7,"15,100,000"
152,Source Code,7.4,7.5,"54,696,902"
153,A History of Violence,8.1,7.5,"31,500,000"
154,Flight,7.6,7.3,"89,400,000"
155,The Grand Budapest Hotel,8.8,8.1,"56,939,515"
156,Chicago,8.2,7.2,0
157,District 9,8.1,8.0,"115,646,235"
158,Million Dollar Baby,8.6,8.1,"100,422,786"
159,Mystic River,8.4,8.0,"88,800,000"
160,Up in the Air,8.3,7.4,"83,775,048"
161,Looper,8.4,7.4,"66,305,045"
162,About Schmidt,8.5,7.2,"65,000,000"
163,Midnight in Paris,8.1,7.7,"55,400,000"
164,The Curse of the Were-Rabbit,8.7,7.5,"56,068,547"
165,Corpse Bride,8.3,7.4,"53,300,000"
166,Atonement,8.5,7.8,"50,830,581"
167,Sicario,8.2,7.6,0
168,The Cabin in the Woods,7.2,7.0,"42,043,633"
169,Side Effects,7.5,7.1,"32,154,410"
170,Get on Up,7.1,6.9,"22,838,662"
171,Winnie the Pooh,7.4,7.2,"26,687,172"
172,Little Nicholas,0.0,7.2,0
173,The Color of Freedom,0.0,7.1,0
174,Walk the Line,7.2,7.9,"119,317,827"
175,Frost/Nixon,8.0,7.7,"18,600,000"
176,Florence Foster Jenkins,7.1,6.9,"27,370,107"
177,Straight Outta Compton,7.2,7.9,"129,402,415"
178,The Big Short,8.1,7.8,0
179,The Royal Tenenbaums,7.6,7.6,"52,307,676"
180,Pride & Prejudice,8.2,7.8,"38,251,759"
181,Winged Migration,8.2,8.0,0
182,Knocked Up,8.5,7.0,"148,734,225"
183,Notes on a Scandal,7.3,7.4,"17,400,000"
184,About a Boy,7.5,7.1,"40,566,655"
185,The 40-Year-Old Virgin,7.3,7.1,"109,243,478"
186,"O Brother, Where Art Thou?",6.9,7.8,"45,150,731"
187,The Constant Gardener,8.2,7.5,"33,565,375"
188,Gran Torino,7.2,8.2,"148,055,047"
189,Bridge to Terabithia,7.4,7.2,"82,234,139"
190,No Country for Old Men,9.1,8.1,"74,223,625"
191,The Hours,8.1,7.6,"41,465,765"
192,There Will Be Blood,9.2,8.1,"40,133,435"
193,Punch-Drunk Love,7.8,7.3,"17,800,000"
194,Warrior,7.1,8.2,"13,600,000"
195,Howl's Moving Castle,8.0,8.2,"4,520,887"
196,Zombieland,7.3,7.7,"75,590,286"
197,King Kong,8.1,7.2,"218,100,000"
198,Her,9.0,8.0,"17,901,029"
199,Bodyguards and Assassins,0.0,6.9,0
200,The Rookie,7.2,7.0,"75,456,736"
201,Black Book,7.1,7.8,"4,339,526"
202,Joyeux Noel,7.0,7.8,"913,127"
203,Michael Clayton,8.2,7.3,"48,976,323"
204,Silver Linings Playbook,8.1,7.8,"132,088,910"
205,Tinker Tailor Soldier Spy,8.5,7.1,"20,200,000"
206,The Descendants,8.4,7.3,"78,500,000"
207,School of Rock,8.2,7.1,"81,200,000"
208,Holes,7.1,7.1,"67,325,559"
209,12 Years a Slave,9.6,8.1,"50,628,650"
210,Selma,8.9,7.5,0
211,Spotlight,9.3,8.1,0
212,Eternal Sunshine of the Spotless Mind,8.9,8.3,"34,126,138"
213,Babel,6.9,7.5,"34,237,104"
214,Milk,8.4,7.6,"31,716,847"
215,The Bank Job,6.9,7.3,"30,028,592"
216,High Fidelity,7.9,7.5,0
217,The World's End,8.1,7.0,"33,408,732"
218,Into the Wild,7.3,8.1,"18,173,360"
219,Kung Fu Hustle,7.8,7.8,"17,025,579"
220,21 Grams,7.0,7.7,"16,162,920"
221,The Quiet American,8.4,7.1,0
222,Let Me In,7.9,7.2,"12,134,420"
223,Mrs Henderson Presents,7.1,7.1,"10,965,943"
224,A Most Violent Year,7.9,7.0,0
225,A Scanner Darkly,7.3,7.1,"5,281,537"
226,I'm Not There.,7.3,7.0,"4,000,000"
227,The Proposition,7.3,7.4,"1,705,229"
228,The Touch,0.0,7.3,0
229,Ramanujan,0.0,7.0,0
230,The Baader Meinhof Complex,7.6,7.4,"296,294"
231,The Painted Veil,6.9,7.5,"7,932,205"
232,Spirited Away,9.4,8.6,"9,855,615"
233,Indignation,7.8,6.9,"3,399,841"
234,Adaptation.,8.3,7.7,"22,184,735"
235,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,8.9,7.3,"128,400,000"
236,Bad Santa,7.0,7.1,0
237,Birdman or (The Unexpected Virtue of Ignorance),8.8,7.8,0
238,Gosford Park,9.0,7.3,"41,274,328"
239,Blue Jasmine,7.8,7.3,0
240,United 93,9.0,7.6,"31,500,000"
241,127 Hours,8.2,7.6,"18,329,466"
242,Steve Jobs,8.2,7.2,"12,403,169"
243,The Last Station,7.6,7.0,"6,500,000"
244,Mongol: The Rise of Genghis Khan,7.4,7.3,"5,600,000"
245,The White Ribbon,8.2,7.8,"2,077,054"
246,Superbad,7.6,7.6,"121,463,226"
247,Hotel Rwanda,7.9,8.1,"23,472,900"
248,The Others,7.4,7.6,"96,080,075"
249,Sideways,9.4,7.5,"71,444,367"
250,House of Sand and Fog,7.1,7.6,"12,924,917"
251,Moonrise Kingdom,8.4,7.8,"45,507,865"
252,The Artist,8.9,7.9,"44,667,095"
253,Pan's Labyrinth,9.8,8.2,"37,500,000"
254,Hot Fuzz,8.1,7.9,"23,618,786"
255,Vicky Cristina Barcelona,7.0,7.1,"23,164,041"
256,Welcome to the Sticks,0.0,7.1,0
257,Enter the Void,6.9,7.3,"336,467"
258,Hachi: A Dog's Tale,0.0,8.1,0
259,The King's Speech,8.8,8.0,"138,300,000"
260,"Crouching Tiger, Hidden Dragon",9.3,7.9,0
261,The Imitation Game,7.3,8.1,0
262,The Queen,9.1,7.3,"56,222,759"
263,Wild,7.6,7.1,"24,673,716"
264,The Theory of Everything,7.2,7.7,"35,887,263"
265,Drive,7.8,7.8,"34,300,000"
266,28 Weeks Later,7.8,7.0,"28,586,503"
267,Love & Basketball,7.0,7.2,0
268,Match Point,7.2,7.7,"23,100,000"
269,The Hurt Locker,9.4,7.6,"15,700,000"
270,U2 3D,8.3,8.4,"10,362,088"
271,Mulholland Drive,8.3,8.0,"7,077,663"
272,Three Burials,7.7,7.4,"4,913,407"
273,Kiss Kiss Bang Bang,7.2,7.6,"4,200,000"
274,Never Let Me Go,6.9,7.2,"2,412,045"
275,District B13,7.0,7.2,"1,150,592"
276,The Return,8.2,8.0,0
277,Slumdog Millionaire,8.6,8.0,"141,243,551"
278,The Diving Bell and the Butterfly,9.2,8.0,"5,875,116"
279,Little Children,7.5,7.6,"5,307,219"
280,Reign of Assassins,0.0,6.9,0
281,Brokeback Mountain,8.7,7.7,"82,970,165"
282,Far from Heaven,8.4,7.4,"15,900,000"
283,Quills,7.0,7.3,"4,284,664"
284,Downfall,8.2,8.3,"5,475,810"
285,The Sea Inside,7.4,8.0,"1,870,746"
286,Black Swan,7.9,8.0,"106,952,327"
287,Ex Machina,7.8,7.7,"19,012,798"
288,Room,8.6,8.2,"14,677,654"
289,Letters from Iwo Jima,8.9,7.9,"13,600,000"
290,The Widow of Saint-Pierre,7.3,7.3,0
291,Lars and the Real Girl,7.0,7.4,"5,802,820"
292,Ernest & Celestine,8.6,7.9,"71,442"
293,The Fault in Our Stars,6.9,7.8,0
294,Chronicle,6.9,7.1,"60,800,000"
295,Philomena,7.7,7.6,0
296,Nebraska,8.6,7.7,"11,348,612"
297,Girl with a Pearl Earring,7.2,7.0,"11,505,906"
298,House of Flying Daggers,8.9,7.6,"10,928,042"
299,Two Lovers,7.4,7.1,"2,997,417"
300,The Great Beauty,8.6,7.7,0
301,Last Orders,7.8,7.0,"2,197,234"
302,The Host,8.5,7.0,"2,010,000"
303,The Dangerous Lives of Altar Boys,6.9,7.1,0
304,2046,7.8,7.5,"1,237,566"
305,Duma,8.2,7.3,"810,666"
306,Fateless,8.7,7.0,0
307,City of Life and Death,8.5,7.7,"68,767"
308,Triangle,0.0,6.9,0
309,The Fighter,7.9,7.8,"93,571,803"
310,Brooklyn,8.7,7.5,"30,459,009"
311,Inside Llewyn Davis,9.2,7.4,"9,666,762"
312,Kinsey,7.9,7.1,"10,214,647"
313,Vera Drake,8.3,7.7,"3,627,889"
314,La Famille Bélier,0.0,7.3,0
315,Le fabuleux destin d'Amélie Putain,0.0,7.1,0
316,Mud,7.6,7.4,"21,589,307"
317,The Gift,7.7,7.1,"33,061,006"
318,Dirty Pretty Things,7.8,7.4,"7,953,388"
319,Rescue Dawn,7.7,7.3,"5,300,124"
320,I Am Love,7.9,7.0,"5,004,648"
321,Crash,6.9,7.8,"55,382,847"
322,The House of Mirth,7.8,7.1,0
323,Nicholas Nickleby,7.1,7.2,"1,309,849"
324,Owning Mahowny,7.0,7.1,"726,886"
325,World's Greatest Dad,6.9,6.9,"166,467"
326,The Good the Bad the Weird,6.9,7.3,0
327,Of Horses and Men,7.4,6.9,0
328,Partition,0.0,7.0,0
329,Amour,9.4,7.9,"6,700,000"
330,Volver,8.4,7.6,"12,830,604"
331,Melancholia,8.0,7.1,0
332,Jab Tak Hai Jaan,0.0,6.9,"3,323,092"
333,Red Dog,0.0,7.5,"14,013,831"
334,Loose Cannons,0.0,7.3,0
335,The Wailing,8.1,7.5,"785,405"
336,Sicko,7.4,8.0,"24,333,911"
337,The Savages,8.5,7.2,"6,426,953"
338,Igby Goes Down,7.2,7.0,"4,624,014"
339,Red Riding: The Year of Our Lord 1974,0.0,7.1,0
340,All or Nothing,7.2,7.6,0
341,Flame and Citron,7.4,7.3,0
342,Beneath Hill 60,0.0,7.1,"454,950"
343,Polisse,7.4,7.3,"100,000"
344,Crazy Heart,8.3,7.3,"38,349,555"
345,Nightcrawler,7.6,7.9,0
346,The Namesake,8.2,7.6,"13,494,515"
347,All Is Lost,8.7,6.9,"4,300,353"
348,Bright Star,8.1,7.0,"4,341,275"
349,Silmido,0.0,7.2,0
350,Namastey London,0.0,7.3,"1,000,000"
351,Yeh Jawaani Hai Deewani,0.0,7.0,"3,688,635"
352,The Wind That Shakes the Barley,8.2,7.5,"1,779,320"
353,Little Miss Sunshine,8.0,7.8,"59,831,476"
354,Easy A,7.2,7.1,"58,401,464"
355,28 Days Later...,7.3,7.6,"44,900,469"
356,50/50,7.2,7.7,"35,005,118"
357,Akeelah and the Bee,7.2,7.5,"18,811,135"
358,Enough Said,7.8,7.1,0
359,Bon Cop Bad Cop,0.0,7.0,0
360,Shadow of the Vampire,7.1,6.9,"7,518,962"
361,Anomalisa,8.8,7.2,0
362,Another Year,8.0,7.3,"3,200,000"
363,When Did You Last See Your Father?,0.0,6.9,"732,392"
364,The Secret of Kells,8.1,7.7,"686,383"
365,Restless,0.0,7.2,0
366,The Rocket,0.0,7.7,0
367,Far from Men,7.4,7.2,0
368,500 Days of Summer,7.6,7.7,"32,118,648"
369,Thank You for Smoking,7.1,7.6,"24,800,000"
370,An Education,8.5,7.3,"12,512,069"
371,Narc,7.0,7.2,"10,237,964"
372,The Work and the Glory,0.0,6.9,"2,962,768"
373,Alias Betty,7.3,6.9,0
374,Persepolis,9.0,8.1,"4,400,000"
375,The Wave,0.0,7.6,0
376,Juno,8.1,7.5,"143,380,890"
377,"Good Night, and Good Luck.",8.0,7.5,"31,500,000"
378,Capote,8.8,7.4,"28,337,516"
379,The Descent,7.1,7.2,"26,005,908"
380,Dope,7.2,7.3,"11,674,449"
381,Beyond the Lights,7.3,6.9,"14,617,945"
382,Skyfall,8.1,7.8,"299,300,000"
383,A Serious Man,7.9,7.0,"9,190,525"
384,Get Low,7.7,7.1,"9,176,469"
385,A Single Man,7.7,7.6,"9,098,668"
386,Rabbit-Proof Fence,8.0,7.5,"6,031,193"
387,Stargate: The Ark of Truth,0.0,7.4,0
388,Incendies,8.0,8.2,"6,857,096"
389,Nowhere in Africa,7.2,7.7,"5,888,057"
390,Shame,7.2,7.2,"2,971,782"
391,Layer Cake,7.3,7.4,"2,277,736"
392,The Messenger,7.7,7.2,"1,006,655"
393,Aberdeen,7.8,7.3,0
394,Control,7.8,7.7,"900,000"
395,The Damned United,8.1,7.6,"315,306"
396,The Wrestler,8.1,7.9,"26,136,413"
397,Best in Show,7.8,7.5,"16,574,225"
398,The Last King of Scotland,7.4,7.7,"17,449,410"
399,A Mighty Wind,8.1,7.3,"17,475,811"
400,Pollock,7.7,7.0,"7,280,174"
401,The Guard,7.8,7.3,"5,359,774"
402,La science des rêves - Film B,0.0,7.4,0
403,Hedwig and the Angry Inch,8.5,7.8,"1,547,128"
404,Shattered Glass,7.3,7.2,"2,105,024"
405,The Wackness,0.0,7.0,"2,100,000"
406,Lake of Fire,8.3,8.3,0
407,Sunshine State,6.9,6.9,"2,836,157"
408,Ghost World,8.8,7.4,"4,694,484"
409,Iris,7.6,7.1,"5,372,026"
410,Le Havre,8.2,7.2,"332,068"
411,Rang De Basanti,0.0,8.3,0
412,Headhunters,7.2,7.6,"794,849"
413,10 Cloverfield Lane,7.6,7.2,"59,481,553"
414,Monster,7.4,7.3,"34,187,787"
415,Dallas Buyers Club,8.4,8.0,"23,750,994"
416,Memento,8.0,8.5,"23,844,220"
417,Billy Elliot,7.4,7.7,0
418,Still Alice,7.2,7.5,0
419,Y Tu Mamá También,8.8,7.7,"13,622,333"
420,Shaun of the Dead,7.6,8.0,"13,464,388"
421,The Barbarian Invasions,7.0,7.7,0
422,Sea Rex 3D: Journey to a Prehistoric World,0.0,6.9,"6,096,582"
423,Of Gods and Men,8.6,7.2,"3,200,000"
424,Green Room,7.9,7.0,"3,219,029"
