,Titre,Notes_moyennes,Nombres_votes,Recettes_Films
561,Half Nelson,8.5,7.2,"2,591,047"
562,L.I.E.,7.3,7.2,0
563,The Hadza: Last of the First,0.0,7.8,0
564,Starsuckers,0.0,7.4,0
565,Faith Connections,0.0,7.2,0
566,Mad Hot Ballroom,7.1,7.5,"7,899,271"
567,The Station Agent,8.1,7.7,0
568,Wordplay,7.3,7.4,"2,857,745"
569,Osama,8.3,7.4,0
570,Mean Creek,7.4,7.3,"295,919"
571,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,7.9,7.1,"151,389"
572,The Other Dream Team,6.9,8.4,"133,778"
573,Crazy Stone,0.0,7.7,0
574,Now Is Good,0.0,7.2,0
575,America Is Still the Place,0.0,7.0,0
576,The King of Najayo,0.0,6.9,0
577,Alleluia! The Devil's Carnival,0.0,7.3,0
578,The Sound and the Shadow,0.0,7.6,0
579,Bloody Sunday,9.0,7.7,"800,000"
580,Censored Voices,7.2,7.3,0
581,As It Is in Heaven,0.0,7.6,0
582,Rise of the Entrepreneur: The Search for a Better Way,0.0,8.1,0
583,Blue Ruin,7.7,7.1,0
584,Quinceañera,7.2,7.1,"1,540,873"
585,Dogtown and Z-Boys,7.6,7.7,"1,187,606"
586,Tarnation,8.7,7.2,"417,541"
587,Murderball,8.7,7.8,"1,328,551"
588,My Dog Tulip,8.0,6.9,"246,574"
589,51 Birch Street,7.7,7.4,0
590,Dogtooth,7.3,7.3,"110,197"
591,Pieces of April,7.0,7.1,"2,400,000"
592,Wendy and Lucy,8.0,7.1,"700,720"
593,Sisters in Law,7.1,7.5,0
594,Anderson's Cross,0.0,7.2,0
595,Lovely & Amazing,7.5,6.9,"4,186,931"
596,Shotgun Stories,7.6,7.3,0
597,Exam,0.0,6.9,0
598,Along the Roadside,0.0,7.0,0
599,Ink,0.0,7.0,0
600,Jesus People,0.0,7.2,0
601,Horse Camp,0.0,7.1,0
602,Give Me Shelter,0.0,7.8,0
603,Bronson,7.1,7.1,"100,000"
604,Burn,8.2,7.5,"111,256"
605,Urbania,7.3,7.0,0
606,The Case of the Grinning Cat,7.9,7.4,0
607,Solitude,0.0,8.1,0
608,The Trials of Darryl Hunt,0.0,7.7,0
609,The Man from Earth,0.0,8.0,0
610,An American Girl Holiday,0.0,7.2,0
611,Weekend,8.1,7.7,"317,593"
612,Butterfly Girl,8.5,8.7,0
613,Once,8.8,7.9,"9,199,193"
614,Top Spin,8.1,7.0,"5,858"
615,An American in Hollywood,0.0,7.6,0
616,The Brain That Sings,0.0,8.3,0
617,A Dog's Breakfast,0.0,7.0,0
618,The Past is a Grotesque Animal,0.0,7.6,0
619,Indie Game: The Movie,7.3,7.7,0
620,Super Size Me,7.3,7.3,0
621,The Call of Cthulhu,0.0,7.3,0
622,Bending Steel,0.0,7.9,0
623,The Image Revolution,0.0,7.5,0
624,George Washington,8.2,7.4,0
625,Mutual Appreciation,8.4,6.9,0
626,Manito,7.1,6.9,0
627,Flywheel,0.0,7.0,0
628,Stories of Our Lives,0.0,7.5,0
629,The Circle,8.5,7.5,0
630,Clean,7.5,6.9,0
631,The Mongol King,0.0,7.9,0
632,Signed Sealed Delivered,0.0,7.6,0
633,The Dark Knight,8.4,9.0,534.86M
634,Jai Bhim,0.0,8.9,248
635,The Lord of the Rings: The Two Towers,8.7,8.8,342.55M
636,Soorarai Pottru,0.0,8.7,0
637,Vikram,0.0,8.6,0
638,Top Gun: Maverick,7.8,8.6,45
639,Spirited Away,9.6,8.6,10.06M
640,Kaithi,0.0,8.5,0
641,Asuran,0.0,8.5,0
642,Parasite,9.6,8.5,53.37M
643,The Intouchables,5.7,8.5,13.18M
644,Sardar Udham,0.0,8.5,0
645,The Prestige,6.6,8.5,53.09M
646,Gladiator,6.7,8.5,187.71M
647,Capernaum,7.5,8.4,1.66M
648,Joker,5.9,8.4,335.45M
649,96,0.0,8.4,0
650,Your Name.,7.9,8.4,5.02M
651,Spider-Man: Into the Spider-Verse,8.7,8.4,190.24M
652,Avengers: Endgame,7.8,8.4,858.37M
653,Avengers: Infinity War,6.8,8.4,678.82M
654,Coco,8.1,8.4,209.73M
655,The Dark Knight Rises,7.8,8.4,448.14M
656,Drishyam 2,0.0,8.4,0
657,3 Idiots,6.7,8.4,6.53M
658,K.G.F: Chapter 2,0.0,8.4,0
659,Shershaah,0.0,8.4,0
660,WALL·E,9.5,8.4,223.81M
661,Oldboy,7.7,8.4,0.71M
662,Hamilton,9.0,8.3,119
663,Raatchasan,0.0,8.3,0
664,Ayla: The Daughter of War,0.0,8.3,0
665,Dangal,0.0,8.3,12.39M
666,Drishyam,0.0,8.3,0
667,The Hunt,7.7,8.3,0.69M
668,Spider-Man: No Way Home,7.1,8.3,804.75M
669,Like Stars on Earth,0.0,8.3,1.22M
670,Toy Story 3,9.2,8.3,415.00M
671,Snatch,5.5,8.3,30.33M
672,Requiem for a Dream,6.8,8.3,3.64M
673,Chhichhore,0.0,8.2,0.90M
674,1917,7.8,8.2,159.23M
675,Uri: The Surgical Strike,0.0,8.2,4.19M
676,Tumbbad,0.0,8.2,0
677,Andhadhun,0.0,8.2,1.37M
678,K.G.F: Chapter 1,0.0,8.2,0
679,Green Book,6.9,8.2,85.08M
680,Everything Everywhere All at Once,8.1,8.2,153
681,Vikram Vedha,0.0,8.2,0
682,Baahubali 2: The Conclusion,0.0,8.2,20.19M
683,Bhaag Milkha Bhaag,0.0,8.2,1.63M
684,Gangs of Wasseypur,8.9,8.2,0
685,Paan Singh Tomar,0.0,8.2,0.04M
686,Shutter Island,6.3,8.2,128.01M
687,Demon Slayer the Movie: Mugen Train,7.2,8.2,47.70M
688,Miracle in Cell No. 7,0.0,8.2,0
689,Article 15,0.0,8.2,0
690,The Father,8.8,8.2,132
691,No Country for Old Men,9.2,8.2,74.28M
692,My Father and My Son,0.0,8.2,240
693,There Will Be Blood,9.3,8.2,40.22M
694,V for Vendetta,6.2,8.2,70.51M
695,Portrait of a Lady on Fire,9.5,8.1,3.76M
696,Pink,0.0,8.1,1.24M
697,A Silent Voice: The Movie,7.8,8.1,0
698,"Three Billboards Outside Ebbing, Missouri",8.8,8.1,54.51M
699,Talvar,0.0,8.1,0.34M
700,Klaus,6.5,8.1,196
701,Masaan,0.0,8.1,0
702,The Handmaiden,8.4,8.1,2.01M
703,Bajrangi Bhaijaan,0.0,8.1,8.18M
704,Haider,0.0,8.1,0.90M
705,Queen,0.0,8.1,1.43M
706,Logan,7.7,8.1,226.28M
707,Wild Tales,7.7,8.1,3.11M
708,Tangerines,7.3,8.1,0.14M
709,PK,0.0,8.1,10.62M
710,OMG: Oh My God!,0.0,8.1,0.92M
711,Wolf Children,7.1,8.1,0
712,Hacksaw Ridge,7.1,8.1,67.21M
713,Barfi!,0.0,8.1,2.80M
714,Rush,7.4,8.1,26.95M
715,Ford v Ferrari,8.1,8.1,117.62M
716,Kahaani,0.0,8.1,1.04M
717,Udaan,0.0,8.1,0.01M
718,Zindagi Na Milegi Dobara,0.0,8.1,3.11M
719,The Help,6.2,8.1,169.71M
720,Prisoners,7.0,8.1,61.00M
721,A Wednesday,0.0,8.1,0
722,Harry Potter and the Deathly Hallows: Part 2,8.5,8.1,381.01M
723,Hachi: A Dog's Tale,0.0,8.1,233
724,Mary and Max,0.0,8.1,204
725,How to Train Your Dragon,7.5,8.1,217.58M
726,Let's Go! India,6.8,8.1,1.11M
727,Color It Yellow,0.0,8.1,2.20M
728,Black,0.0,8.1,0.73M
729,Munna Bhai M.B.B.S.,0.0,8.1,0
730,Swades,0.0,8.1,1.22M
731,Memories of Murder,8.2,8.1,0.01M
732,Pirates of the Caribbean: The Curse of the Black Pearl,6.3,8.1,305.41M
733,Dil Chahta Hai,0.0,8.1,0.30M
734,Catch Me If You Can,7.5,8.1,164.62M
735,Amores perros,8.3,8.1,5.38M
736,Hera Pheri,0.0,8.1,0
737,"Monsters, Inc.",7.9,8.1,289.92M
738,Lagaan: Once Upon a Time in India,8.4,8.1,0.07M
739,In the Mood for Love,8.5,8.1,2.73M
740,RRR,8.3,8.0,0
741,Badhaai Ho,0.0,8.0,0
742,Wolfwalkers,8.7,8.0,0
743,The Invisible Guest,0.0,8.0,0
744,La La Land,9.4,8.0,151.10M
745,Lion,6.9,8.0,51.74M
746,Mommy,7.4,8.0,3.49M
747,Soul,8.3,8.0,0
748,Zootopia,7.8,8.0,341.27M
749,Winter Sleep,8.8,8.0,0.17M
750,Baahubali: The Beginning,0.0,8.0,6.74M
751,The Tale of The Princess Kaguya,8.9,8.0,1.51M
752,Special 26,0.0,8.0,1.08M
753,The Imitation Game,7.1,8.0,91.13M
754,Song of the Sea,8.5,8.0,0.86M
755,Blade Runner 2049,8.1,8.0,92.05M
756,Her,9.1,8.0,25.57M
757,The Perks of Being a Wallflower,6.7,8.0,17.74M
758,Elite Squad 2: The Enemy Within,7.1,8.0,0.10M
759,Deadpool,6.5,8.0,363.07M
760,Zack Snyder's Justice League,5.4,8.0,0
761,Ip Man,5.9,8.0,0
762,Dune,7.4,8.0,108.33M
763,Departures,6.8,8.0,1.50M
764,CODA,7.4,8.0,0
765,Slumdog Millionaire,8.4,8.0,141.32M
766,Elite Squad,3.3,8.0,0.01M
767,"Carry On, Munna Bhai",0.0,8.0,2.22M
768,The Pursuit of Happyness,6.4,8.0,163.57M
769,Blood Diamond,6.4,8.0,57.37M
770,Nobody Knows,8.8,8.0,0.68M
771,Tae Guk Gi: The Brotherhood of War,6.4,8.0,1.11M
772,G.O.R.A.,0.0,8.0,0
773,"Spring, Summer, Fall, Winter... and Spring",8.5,8.0,2.38M
774,Infernal Affairs,7.5,8.0,0.17M
775,Big Fish,5.8,8.0,66.26M
776,My Sassy Girl,0.0,8.0,0
777,Dogville,6.0,8.0,1.53M
778,Vizontele,0.0,8.0,0
779,Knives Out,8.2,7.9,165.36M
780,Shoplifters,9.3,7.9,3.31M
781,Marriage Story,9.4,7.9,2.00M
782,Super 30,0.0,7.9,2.27M
783,Pad Man,0.0,7.9,1.66M
784,Togo,6.9,7.9,0
785,Airlift,0.0,7.9,0
786,M.S. Dhoni: The Untold Story,0.0,7.9,1.78M
787,Baby,0.0,7.9,0
788,Sing Street,7.9,7.9,3.24M
789,Thor: Ragnarok,7.4,7.9,315.06M
790,Jojo Rabbit,5.8,7.9,0.35M
791,Wonder,6.6,7.9,132.42M
792,Gully Boy,6.5,7.9,5.57M
793,Short Term 12,8.2,7.9,1.01M
794,The Raid 2,7.1,7.9,2.63M
795,X-Men: Days of Future Past,7.5,7.9,233.92M
796,The Batman,7.2,7.9,0
797,Bohemian Rhapsody,4.9,7.9,216.43M
798,The Way He Looks,7.1,7.9,0.10M
799,About Elly,8.7,7.9,0.11M
800,Dev.D,0.0,7.9,0.01M
801,My Name Is Khan,5.0,7.9,4.02M
802,Nefes: Vatan Sagolsun,0.0,7.9,0
803,Let the Right One In,8.2,7.9,2.12M
804,The Wrestler,8.0,7.9,26.24M
805,Jab We Met,0.0,7.9,0.41M
806,The Worst Person in the World,9.0,7.9,0
807,Dallas Buyers Club,7.9,7.9,27.30M
808,In Bruges,6.7,7.9,7.76M
809,The Man from Earth,0.0,7.9,0
810,3-Iron,7.2,7.9,0.24M
811,C.R.A.Z.Y.,8.1,7.9,0
812,Iron Man,7.9,7.9,318.41M
813,Kal Ho Naa Ho,5.4,7.9,1.79M
814,Head-On,7.8,7.9,0
815,Talk to Her,8.6,7.9,9.28M
816,No Man's Land,8.4,7.9,1.06M
817,The Bourne Identity,6.8,7.9,121.66M
818,"Crouching Tiger, Hidden Dragon",9.4,7.9,128.08M
819,Dancer in the Dark,6.1,7.9,4.18M
820,Mulholland Drive,8.5,7.9,7.22M
821,The Gentlemen,5.1,7.8,0
822,Dragon Ball Super: Broly,5.9,7.8,30.71M
823,Hindi Medium,0.0,7.8,0
824,Call Me by Your Name,9.3,7.8,18.10M
825,"I, Daniel Blake",7.8,7.8,0.26M
826,Isle of Dogs,8.2,7.8,32.02M
827,Dunkirk,9.4,7.8,188.37M
828,Hidden Figures,7.4,7.8,169.61M
829,Hunt for the Wilderpeople,8.1,7.8,5.20M
830,Paddington 2,8.8,7.8,40.44M
831,Manchester by the Sea,9.6,7.8,47.70M
832,Land of Mine,7.5,7.8,0.44M
833,Rogue One: A Star Wars Story,6.5,7.8,532.18M
834,Elvis,6.4,7.8,0
835,Captain Fantastic,7.2,7.8,5.88M
836,Captain America: Civil War,7.5,7.8,408.08M
837,The Hateful Eight,6.8,7.8,54.12M
838,Little Women,9.1,7.8,108.10M
839,Loving Vincent,6.2,7.8,6.74M
840,Pride,7.9,7.8,0
841,Star Wars: Episode VII - The Force Awakens,8.0,7.8,936.66M
842,Vicky Donor,0.0,7.8,0.17M
843,About Time,5.5,7.8,15.32M
844,English Vinglish,0.0,7.8,1.67M
845,The Best Offer,4.9,7.8,0.09M
846,Once Upon a Time in Anatolia,8.2,7.8,0.14M
847,How to Train Your Dragon 2,7.7,7.8,177.00M
848,I Saw the Devil,6.7,7.8,0.13M
849,Captain Phillips,8.2,7.8,107.10M
850,The Irishman,9.4,7.8,7.00M
851,A Prophet,9.0,7.8,2.08M
852,Mother,7.9,7.8,0.55M
853,The Chaser,6.4,7.8,0
854,Moon,6.7,7.8,5.01M
855,The Hobbit: The Desolation of Smaug,6.6,7.8,258.37M
856,The Girl with the Dragon Tattoo,7.6,7.8,10.10M
857,Taken,5.1,7.8,145.00M
858,The Hobbit: An Unexpected Journey,5.8,7.8,303.00M
859,Changeling,6.3,7.8,35.74M
860,Avatar,8.3,7.8,760.51M
861,Mr. Nobody,6.3,7.8,0.00M
862,Apocalypto,6.8,7.8,50.87M
863,The Fall,6.4,7.8,2.28M
864,Veer-Zaara,6.7,7.8,2.92M
865,The World's Fastest Indian,6.8,7.8,5.13M
866,Tokyo Godfathers,7.3,7.8,0.13M
867,Crash,6.6,7.8,54.58M
868,The Chorus,5.6,7.8,3.64M
869,The Notebook,5.3,7.8,81.00M
870,The Last Samurai,5.5,7.8,111.11M
871,The Motorcycle Diaries,7.5,7.8,16.76M
872,Millennium Actress,7.0,7.8,0.19M
873,Cowboy Bebop: The Movie,6.1,7.8,1.00M
874,Joint Security Area,5.8,7.8,0
875,Remember the Titans,4.8,7.8,115.65M
876,Roma,9.6,7.7,0
877,Deadpool 2,6.6,7.7,324.59M
878,Sound of Metal,8.2,7.7,0
879,Wind River,7.3,7.7,33.80M
880,The Salesman,8.5,7.7,2.40M
881,Get Out,8.5,7.7,176.04M
882,Mission: Impossible - Fallout,8.6,7.7,220.16M
883,Perfect Strangers,0.0,7.7,0
884,Udta Punjab,0.0,7.7,0
885,Kubo and the Two Strings,8.4,7.7,48.02M
886,A Man Called Ove,7.0,7.7,3.36M
887,When Marnie Was There,7.2,7.7,0.77M
888,The Theory of Everything,7.1,7.7,35.89M
889,Kingsman: The Secret Service,6.0,7.7,128.26M
890,Me and Earl and the Dying Girl,7.4,7.7,6.74M
891,Birdman or (The Unexpected Virtue of Ignorance),8.7,7.7,42.34M
892,The Past,8.5,7.7,1.33M
893,Blue Is the Warmest Colour,8.9,7.7,2.20M
894,The Broken Circle Breakdown,7.0,7.7,0.18M
895,The Wind Rises,8.3,7.7,5.21M
896,Toy Story 4,8.4,7.7,434.04M
897,Nebraska,8.7,7.7,17.65M
898,Detachment,5.2,7.7,0.07M
899,Confessions,0.0,7.7,0
900,The Man from Nowhere,0.0,7.7,0.01M
901,Star Trek Into Darkness,7.2,7.7,228.78M
902,Beasts of No Nation,7.9,7.7,0.08M
903,X: First Class,6.5,7.7,146.41M
904,The Trial of the Chicago 7,7.6,7.7,0
905,Another Round,7.9,7.7,0
906,Harry Potter and the Deathly Hallows: Part 1,6.5,7.7,295.98M
907,The Boy in the Striped Pajamas,5.5,7.7,9.03M
908,The Edge of Heaven,8.5,7.7,0.74M
909,Paprika,8.1,7.7,0.88M
910,Flipped,4.5,7.7,1.75M
911,The Girl Who Leapt Through Time,0.0,7.7,0
912,After the Wedding,7.8,7.7,0.41M
913,Lucky Number Slevin,5.3,7.7,22.49M
914,Adam's Apples,5.1,7.7,0.00M
915,Tangled,7.1,7.7,200.82M
916,The Machinist,6.1,7.7,1.08M
917,Evil,6.1,7.7,0.02M
918,Man on Fire,4.7,7.7,77.91M
919,The Magdalene Sisters,8.3,7.7,4.89M
920,Finding Neverland,6.7,7.7,51.68M
921,Good Bye Lenin!,6.8,7.7,4.06M
922,In America,7.6,7.7,15.54M
923,The Experiment,6.0,7.7,0.14M
924,The Count of Monte Cristo,6.1,7.7,54.23M
925,Y tu mamá también,8.8,7.7,13.62M
926,Waking Life,8.3,7.7,2.89M
927,Apollo 13,7.7,7.7,173.84M
928,Dark Waters,7.3,7.6,0
929,The Mitchells vs the Machines,8.1,7.6,0
930,Once Upon a Time... In Hollywood,8.3,7.6,142.50M
931,Guardians of the Galaxy Vol. 2,6.7,7.6,389.81M
932,Incredibles 2,8.0,7.6,608.58M
933,Moana,8.1,7.6,248.76M
934,What We Do in the Shadows,7.6,7.6,3.33M
935,Leviathan,9.2,7.6,1.09M
936,Hell or High Water,8.8,7.6,26.86M
937,End of Watch,6.8,7.6,41.00M
938,A Star Is Born,8.8,7.6,215.29M
939,Kick-Ass,6.6,7.6,48.07M
940,Celda 211,0.0,7.6,0
941,The Blind Side,5.3,7.6,255.96M
942,Seven Pounds,3.6,7.6,69.95M
943,Stardust,6.6,7.6,38.63M
944,Gone Baby Gone,7.2,7.6,20.30M
945,Kung Fu Panda,7.4,7.6,215.43M
946,300,5.2,7.6,210.61M
947,Watchmen,5.6,7.6,107.51M
948,Lord of War,6.2,7.6,24.15M
949,Saw,4.6,7.6,56.00M
950,Love Actually,5.5,7.6,59.70M
951,25th Hour,6.8,7.6,13.06M
952,The Butterfly Effect,3.0,7.6,57.94M
953,I Am Sam,2.8,7.6,40.31M
954,Harry Potter and the Sorcerer's Stone,6.5,7.6,317.58M
955,American Psycho,6.4,7.6,15.07M
956,Star Wars: Episode III - Revenge of the Sith,6.8,7.6,380.26M
957,After Hours,9.0,7.6,10.60M
958,Pirates of the Caribbean: At World's End,5.0,7.1,"309,404,152"
959,Spectre,6.0,6.8,"208,777,731"
960,The Lone Ranger,3.7,6.5,"89,289,910"
961,John Carter,5.1,6.6,"73,058,679"
962,Spider-Man 3,5.9,6.2,"336,530,303"
963,Avengers: Age of Ultron,6.6,7.4,"429,113,729"
964,Batman v Superman: Dawn of Justice,4.4,6.7,"293,792,936"
965,Harry Potter and the Half-Blood Prince,7.8,7.5,"301,920,409"
966,The Hobbit: The Battle of the Five Armies,5.9,7.4,"187,747,747"
967,Pirates of the Caribbean: On Stranger Tides,4.5,6.7,"241,063,875"
968,Superman Returns,7.2,6.1,"200,100,000"
969,Quantum of Solace,5.8,6.6,"168,400,000"
970,Pirates of the Caribbean: Dead Man's Chest,5.3,7.3,"423,032,628"
971,Man of Steel,5.5,7.1,"291,021,565"
972,The Chronicles of Narnia: Prince Caspian,6.2,6.6,"141,614,023"
973,The Amazing Spider-Man,6.6,7.0,"262,030,663"
974,Jurassic World,5.9,7.0,"528,757,749"
975,Men in Black 3,5.8,6.8,"179,020,854"
976,Transformers: Revenge of the Fallen,3.5,6.0,"402,076,689"
977,Transformers: Age of Extinction,3.2,5.7,"206,755,538"
978,X-Men: The Last Stand,5.8,6.7,"234,300,000"
979,Robin Hood,5.3,6.7,"105,219,735"
980,Battleship,4.1,5.8,"65,173,160"
981,The Golden Compass,5.1,6.1,"70,100,000"
982,Iron Man 3,6.2,7.2,"408,992,272"
983,Spider-Man 2,8.3,7.3,"373,377,893"
984,Alice in Wonderland,5.3,6.5,"319,323,000"
985,Monsters University,6.5,7.3,"260,300,000"
986,Oz the Great and Powerful,4.4,6.3,"234,903,076"
987,X-Men: Days of Future Past,7.4,8.0,"199,305,306"
988,The Amazing Spider-Man 2,5.3,6.7,"183,277,573"
989,Cars 2,5.7,6.2,"191,450,875"
990,TRON: Legacy,4.9,6.8,"172,051,787"
991,2012,4.9,5.8,"166,112,167"
992,Terminator Salvation,4.9,6.6,"125,286,889"
993,Green Lantern,3.9,5.6,"116,600,000"
994,Prince of Persia: The Sands of Time,5.0,6.6,"90,755,643"
995,Transformers: Dark of the Moon,4.2,6.3,"352,358,779"
996,Jack the Giant Slayer,5.1,6.3,"65,171,860"
997,Furious 7,6.7,7.2,"316,986,481"
998,World War Z,6.3,7.0,"202,351,611"
999,The Great Gatsby,5.5,7.3,"144,812,796"
1000,A Christmas Carol,5.5,6.8,"137,816,456"
1001,Pacific Rim,6.4,7.0,"101,785,482"
1002,The Good Dinosaur,6.6,6.8,"94,166,454"
1003,The Dark Knight,8.2,9.0,"533,316,061"
1004,Indiana Jones and the Kingdom of the Crystal Skull,6.5,6.2,"316,957,122"
1005,Brave,6.9,7.2,"237,282,182"
1006,Star Trek Beyond,6.8,7.1,"158,804,470"
1007,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7.5,6.9,"291,685,219"
1008,Maleficent,5.6,7.0,"190,871,149"
1009,WALL·E,9.4,8.4,"223,749,872"
1010,Rush Hour 3,4.4,6.2,"140,080,850"
1011,The Legend of Tarzan,4.4,6.3,"126,585,313"
